params,iteration,train_loss,val_accuracy,val_loss,val_f1,val_precision,val_recall
"{'bidirectional': True, 'dropout_prop': 0.08329141104111479, 'learning_rate': 0.013339381988378186, 'nb_lstm_layers': 1, 'nb_lstm_units': 128, 'sent_length': 8, 'use_class_weights': False}",9,0.0363,0.992,0.027,0.9926,0.9922,0.9921
"{'bidirectional': False, 'dropout_prop': 0.04875910982589746, 'learning_rate': 0.02209798447230265, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",3,2.2799,0.227,2.2095,0.0513,0.2266,0.0837
"{'bidirectional': True, 'dropout_prop': 0.202022789852805, 'learning_rate': 0.025290001199253537, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': False}",8,0.0663,0.992,0.075,0.9938,0.9922,0.9924
"{'bidirectional': True, 'dropout_prop': 0.10399652952666086, 'learning_rate': 0.006553575787648767, 'nb_lstm_layers': 2, 'nb_lstm_units': 128, 'sent_length': 10, 'use_class_weights': True}",9,0.1284,0.961,0.1025,0.9653,0.9609,0.9612
"{'bidirectional': True, 'dropout_prop': 0.011298055468385828, 'learning_rate': 0.01465162955025099, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",9,0.0901,0.977,0.1213,0.9809,0.9766,0.976
"{'bidirectional': False, 'dropout_prop': 0.21495073935431325, 'learning_rate': 0.0024512861115060336, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",7,2.2649,0.211,2.1877,0.0654,0.2109,0.0812
"{'bidirectional': True, 'dropout_prop': 0.14015836217956784, 'learning_rate': 0.01164783949307873, 'nb_lstm_layers': 1, 'nb_lstm_units': 128, 'sent_length': 15, 'use_class_weights': False}",8,0.0741,0.984,0.0537,0.9862,0.9844,0.9839
"{'bidirectional': True, 'dropout_prop': 0.13175748261947867, 'learning_rate': 0.00464496047030605, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 8, 'use_class_weights': False}",5,0.4239,0.93,0.2653,0.9416,0.9297,0.93
"{'bidirectional': True, 'dropout_prop': 0.17917055337711454, 'learning_rate': 0.02391622433193632, 'nb_lstm_layers': 2, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': True}",7,0.1106,0.969,0.0903,0.9766,0.9688,0.9699
"{'bidirectional': True, 'dropout_prop': 0.03730980962878766, 'learning_rate': 0.02832795669349147, 'nb_lstm_layers': 1, 'nb_lstm_units': 128, 'sent_length': 12, 'use_class_weights': False}",9,0.0296,1.0,0.0127,1.0,1.0,1.0
"{'bidirectional': False, 'dropout_prop': 0.16915220476106974, 'learning_rate': 0.0010214936105308109, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': False}",3,2.2728,0.203,2.2335,0.0413,0.2031,0.0686
"{'bidirectional': True, 'dropout_prop': 0.032816636318989734, 'learning_rate': 0.01782751055670483, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': False}",9,0.0222,1.0,0.0031,1.0,1.0,1.0
"{'bidirectional': True, 'dropout_prop': 0.2756755739213743, 'learning_rate': 0.004014191204173297, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': False}",8,0.2168,0.922,0.1877,0.9259,0.9219,0.9219
"{'bidirectional': True, 'dropout_prop': 0.028687709709730547, 'learning_rate': 0.018211944316515488, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': True}",9,0.1502,0.945,0.2281,0.9517,0.9453,0.9472
"{'bidirectional': True, 'dropout_prop': 0.3570623075290477, 'learning_rate': 0.01624294251789239, 'nb_lstm_layers': 2, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': False}",7,0.1201,0.945,0.1241,0.9521,0.9453,0.9455
"{'bidirectional': False, 'dropout_prop': 0.3122203787909155, 'learning_rate': 0.007353119268182596, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': False}",4,2.2579,0.242,2.1912,0.0944,0.2422,0.1026
